"contrast","estimate","SE","df","z.ratio","p.value"
"AdjIsl - NoGap",0.307328400496688,0.168253377702533,Inf,1.826580866864,0.406576873841148
"AdjIsl - SubjIsl",1.70495219054089,0.182973177525541,Inf,9.31804439097585,7.11025745254494e-20
"AdjIsl - SymGap",1.36062555422106,0.178466314703494,Inf,7.62399087178789,1.47570460696186e-13
"NoGap - SubjIsl",1.3976237900442,0.182852515700504,Inf,7.6434485174565,1.26887826043125e-13
"NoGap - SymGap",1.05329715372437,0.177025728578718,Inf,5.94996649459348,1.60918431068879e-08
"SubjIsl - SymGap",-0.34432663631983,0.182542998190946,Inf,-1.88627687576191,0.355545922329898
